ano,codigo,estacao,uf,regiao,latitude,longitude,altitude_m,temperaturas_validas,datetime_validos,cobertura_temp,cobertura_temp_pct,observacoes,temperatura_min_c,temperatura_max_c,primeiro_datetime,ultimo_datetime,coordenada_valida,dentro_dominio_era5,flag_temperatura_suspeita,possui_observacoes,elegivel_pareamento,motivo_elegibilidade,deslocamento_max_coord_km,coordenada_suspeita
2003,A704,TRES LAGOAS,MS,CO,-20.78999999,-51.71222222,313.0,3401,8760,0.3882420091324201,38.82420091324201,3401.0,8.7,39.2,2003-01-01 00:00:00,2003-05-26 03:00:00,True,True,False,True,True,aprovada,0.7413364883189286,False
2003,A709,IVINHEMA,MS,CO,-22.30666666,-53.82722221,373.8,0,7848,0.0,0.0,,,,,,True,True,False,False,False,sem_observacoes_validas,0.8249152422990869,False
2003,A901,CUIABA,MT,CO,-15.55916666,-56.72944443,240.0,8539,8760,0.9747716894977169,97.47716894977168,8539.0,13.5,39.2,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,71.81020675158352,True
2003,A902,TANGARA DA SERRA,MT,CO,-14.65,-57.41666666,321.5,4920,8760,0.5616438356164384,56.16438356164384,4920.0,11.2,36.8,2003-05-21 00:00:00,2003-12-31 14:00:00,True,True,False,True,True,aprovada,1.6136999708941684,False
2003,A903,S.J. DO RIO CLARO,MT,CO,-13.45,-56.66666666,350.0,7202,7440,0.968010752688172,96.8010752688172,7202.0,11.0,37.0,2003-02-25 12:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,1.2345185721150294,False
2003,A904,SORRISO,MT,CO,-12.55,-55.71666666,380.0,8756,8760,0.9995433789954338,99.95433789954338,8756.0,13.6,37.6,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.8802165393899265,False
2003,A905,CAMPO NOVO DOS PARECIS,MT,CO,-13.78333333,-57.83333333,570.0,8755,8760,0.9994292237442922,99.94292237442922,8755.0,11.5,35.7,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.6341379998079806,False
2003,A906,GUARANTA DO NORTE,MT,CO,-9.95,-54.88333333,320.0,8516,8760,0.9721461187214612,97.21461187214612,8516.0,13.5,36.8,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,1.6062247680342705,False
2003,A907,RONDONOPOLIS,MT,CO,-16.45,-54.56666666,284.0,1044,1080,0.9666666666666667,96.66666666666667,1044.0,20.0,36.3,2003-11-17 20:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,2.0096650125940627,False
2003,A303,MACEIO,AL,NE,-9.55111111,-35.77027777,80.0,7423,7440,0.9977150537634408,99.77150537634408,7423.0,18.2,33.5,2003-02-25 16:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.0110630591144965,False
