ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,alerta_distancia,observacoes_inmet,cobertura_temp
2004,A009,PALMAS,TO,N,-10.18333333,-48.3,280.0,-10.25,-48.25,10568,9.213633597051004,False,341.0,0.9472222222222222
2004,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,-3.0,-60.0,5852,11.633371062005196,False,5613.0,0.6390027322404371
2004,A201,BELEM,PA,N,-1.41027777,-48.43833333,24.0,-1.5,-48.5,4932,12.104647445371176,False,4995.0,0.5686475409836066
2004,A202,CASTANHAL,PA,N,-1.30083333,-47.93083332,65.0,-1.25,-48.0,4773,9.543159659510271,False,8746.0,0.9956739526411658
2004,A203,SAO LUIS,MA,NE,-2.52694443,-44.21305555,56.0,-2.5,-44.25,5593,5.081347157966228,False,7395.0,0.8418715846994536
2004,A301,RECIFE,PE,NE,-8.05916666,-34.95944444,10.0,-8.0,-35.0,9172,7.951307400735663,False,217.0,0.9041666666666668
2004,A303,MACEIO,AL,NE,-9.55111111,-35.77027777,80.0,-9.5,-35.75,10135,6.102850229986803,False,8746.0,0.9956739526411658
2004,A304,NATAL,RN,NE,-5.9,-35.2,48.6,-6.0,-35.25,7883,12.418621597788269,False,6771.0,0.7708333333333334
2004,A305,FORTALEZA,CE,NE,-3.83222221,-38.53777777,26.45,-3.75,-38.5,6421,10.057723972102671,False,7371.0,0.8391393442622951
2004,A306,SOBRAL,CE,NE,-3.73166666,-40.34555555,109.62,-3.75,-40.25,6414,10.796868768394305,False,4062.0,0.462431693989071
2004,A307,PETROLINA,PE,NE,-9.38805555,-40.48944444,370.46,-9.5,-40.5,10116,12.501403239169816,False,8747.0,0.995787795992714
2004,A308,PARNAIBA,PI,NE,-3.08638888,-41.78333333,79.5,-3.0,-41.75,5925,10.29441727986661,False,8310.0,0.9460382513661202
2004,A309,ARCO VERDE,PE,NE,-8.41694443,-37.08333333,680.7,-8.5,-37.0,9486,13.011448886449122,False,384.0,0.3809523809523809
2004,A310,AREIA,PB,NE,-6.97499999,-35.68499999,574.62,-7.0,-35.75,8525,7.693762872515994,False,695.0,0.6295289855072463
2004,A311,FLORIANO,PI,NE,-6.76666666,-43.01666666,123.27,-6.75,-43.0,8335,2.6118021665199564,False,929.0,0.8797348484848485
2004,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,False,8718.0,0.9924863387978142
2004,A404,LUIZ EDUARDO MAGALHAES,BA,NE,-12.15222222,-45.82972221,754.04,-12.25,-45.75,11866,13.902605555152325,False,8182.0,0.9314663023679416
2004,A405,CARAVELAS,BA,NE,-17.73333333,-39.26666666,2.88,-17.75,-39.25,15434,2.5593272588675533,False,8738.0,0.9947632058287796
2004,A406,CRUZ DAS ALMAS,BA,NE,-12.65,-39.15,225.87,-12.75,-39.25,12214,15.534184952457371,False,7664.0,0.8724954462659381
2004,A407,ITIRUCU,BA,NE,-13.52833332,-40.11972221,755.61,-13.5,-40.0,12694,13.321825104071337,False,8744.0,0.9954462659380692
2004,A408,ITABERABA,BA,NE,-12.51666666,-40.3,249.89,-12.5,-40.25,12049,5.735455331309945,False,8716.0,0.9922586520947176
2004,A409,ARACAJU,SE,NE,-10.95027777,-37.05,4.72,-11.0,-37.0,11096,7.769095876652661,False,8745.0,0.9955601092896176
2004,A410,ILHEUS,BA,NE,-14.65944444,-39.1811111,78.0,-14.75,-39.25,13502,12.501515926422778,False,8755.0,0.9966985428051002
2004,A412,MACAJUBA,BA,NE,-12.11666666,-40.18333333,380.0,-12.0,-40.25,11727,14.860916451930818,False,8734.0,0.9943078324225864
2004,A502,BARBACENA,MG,SE,-21.22888888,-43.76694443,1155.0,-21.25,-43.75,17670,2.9316581961479566,False,6199.0,0.7057149362477231
2004,A505,ARAXA,MG,SE,-19.60555555,-46.94944444,1020.0,-19.5,-47.0,16530,12.877313135494113,False,8675.0,0.9875910746812386
2004,A506,MONTES CLAROS,MG,SE,-16.71666666,-43.86666666,646.29,-16.75,-43.75,14772,12.964557427394917,False,8672.0,0.9872495446265938
2004,A507,UBERLANDIA,MG,SE,-18.91722221,-48.25555555,869.0,-19.0,-48.25,16203,9.22300615401448,False,1700.0,0.1935336976320583
2004,A508,ALMENARA,MG,SE,-16.16666666,-40.68777777,194.0,-16.25,-40.75,14462,11.40191467631017,False,8668.0,0.9867941712204008
2004,A509,MONTE VERDE,MG,SE,-22.86138888,-46.04333333,1500.0,-22.75,-46.0,18627,13.15825619880512,False,293.0,0.939102564102564
2004,A601,ECOLOGIA AGRICOLA,RJ,SE,-22.8,-43.68333333,33.0,-22.75,-43.75,18636,8.810703090067518,False,5688.0,0.6475409836065574
2004,A602,MARAMBAIA,RJ,SE,-23.05,-43.6,9.7,-23.0,-43.5,18798,11.646404466243496,False,8671.0,0.9871357012750456
2004,A603,XEREM,RJ,SE,-22.58972221,-43.28222221,33.0,-22.5,-43.25,18477,10.511152175857386,False,1374.0,0.1564207650273224
2004,A604,CAMBUCI,RJ,SE,-21.56666666,-41.95,35.0,-21.5,-42.0,17838,9.038759896771698,False,360.0,0.040983606557377
2004,A702,CAMPO GRANDE,MS,CO,-20.45,-54.6,530.0,-20.5,-54.5,17144,11.80785368509936,False,8688.0,0.989071038251366
2004,A704,TRES LAGOAS,MS,CO,-20.78999999,-51.71222222,313.0,-20.75,-51.75,17316,5.93378592108283,False,927.0,0.1055327868852459
2004,A705,BAURU,SP,SE,-22.35805555,-49.02888888,666.0,-22.25,-49.0,18293,12.377346559326243,False,2572.0,0.2928051001821493
2004,A706,CAMPOS DO JORDAO,SP,SE,-22.75027777,-45.60388888,1642.0,-22.75,-45.5,18629,10.653236962663385,False,606.0,0.0689890710382513
2004,A707,PRESIDENTE PRUDENTE,SP,SE,-22.11999999,-51.4,435.55,-22.0,-51.5,18122,16.859685870030667,False,983.0,0.111908014571949
2004,A708,FRANCA,SP,SE,-20.57999999,-47.37999999,1026.0,-20.5,-47.5,17172,15.338193616564057,False,8702.0,0.990664845173042
2004,A801,PORTO ALEGRE,RS,S,-30.05,-51.16666666,46.97,-30.0,-51.25,23275,9.760944874702881,False,7793.0,0.8871812386156649
2004,A802,RIO GRANDE,RS,S,-32.03333333,-52.1,2.46,-32.0,-52.0,24560,10.130568013538154,False,2682.0,0.305327868852459
2004,A803,SANTA MARIA,RS,S,-29.70833333,-53.70361111,95.0,-29.75,-53.75,23104,6.444369486898702,False,8629.0,0.9823542805100182
2004,A804,SANTANA DO LIVRAMENTO,RS,S,-30.84249999,-55.61277777,196.0,-30.75,-55.5,23741,14.893948520583603,False,8600.0,0.9790528233151184
2004,A805,SANTO AUGUSTO,RS,S,-27.85416666,-53.7911111,490.0,-27.75,-53.75,21816,12.26836775593502,False,1767.0,0.2011612021857923
2004,A806,FLORIANOPOLIS,SC,S,-27.6025,-48.61999999,1.8,-27.5,-48.5,21676,16.427331471854878,False,4356.0,0.4959016393442623
2004,A901,CUIABA,MT,CO,-15.55916666,-56.72944443,240.0,-15.5,-56.75,13915,6.937839647491648,False,8715.0,0.9921448087431692
2004,A902,TANGARA DA SERRA,MT,CO,-14.65,-57.41666666,321.5,-14.75,-57.5,13429,14.282084641013808,False,7707.0,0.8773907103825137
2004,A903,S.J. DO RIO CLARO,MT,CO,-13.45,-56.66666666,350.0,-13.5,-56.75,12627,10.588299988827904,False,8706.0,0.9911202185792348
2004,A904,SORRISO,MT,CO,-12.55,-55.71666666,380.0,-12.5,-55.75,11987,6.633469370805061,False,8476.0,0.964936247723133
2004,A905,CAMPO NOVO DOS PARECIS,MT,CO,-13.78333333,-57.83333333,570.0,-13.75,-57.75,12784,9.73341150518281,False,8486.0,0.9660746812386156
2004,A906,GUARANTA DO NORTE,MT,CO,-9.95,-54.88333333,320.0,-10.0,-55.0,10380,13.933907993353664,False,8761.0,0.9973816029143898
2004,A907,RONDONOPOLIS,MT,CO,-16.45,-54.56666666,284.0,-16.5,-54.5,14568,9.024622372107466,False,8766.0,0.9979508196721312
2005,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,-15.75,-48.0,14111,9.067874754249852,False,8550.0,0.976027397260274
2005,A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,-16.75,-49.25,14750,12.343314852630817,False,7356.0,0.8397260273972603
2005,A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,-17.75,-49.0,15395,11.220997656564998,False,4175.0,0.4765981735159817
2005,A009,PALMAS,TO,N,-10.18333333,-48.3,280.0,-10.25,-48.25,10568,9.213633597051004,False,8292.0,0.9465753424657536
2005,A010,PARANA,TO,N,-12.615,-47.87194443,280.0,-12.5,-47.75,12019,18.403540074721757,False,6587.0,0.9058030803080308
2005,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,-3.0,-60.0,5852,11.633371062005196,False,4360.0,0.4977168949771689
2005,A201,BELEM,PA,N,-1.41027777,-48.43833333,24.0,-1.5,-48.5,4932,12.104647445371176,False,6494.0,0.741324200913242
2005,A202,CASTANHAL,PA,N,-1.30083333,-47.93083332,65.0,-1.25,-48.0,4773,9.543159659510271,False,8172.0,0.9328767123287672
2005,A203,SAO LUIS,MA,NE,-2.52694443,-44.21305555,56.0,-2.5,-44.25,5593,5.081347157966228,False,6790.0,0.7751141552511416
2005,A301,RECIFE,PE,NE,-8.05916666,-34.95944444,10.0,-8.0,-35.0,9172,7.951307400735663,False,8660.0,0.9885844748858448
2005,A303,MACEIO,AL,NE,-9.55111111,-35.77027777,80.0,-9.5,-35.75,10135,6.102850229986803,False,8463.0,0.9660958904109588
2005,A304,NATAL,RN,NE,-5.9,-35.2,48.6,-6.0,-35.25,7883,12.418621597788269,False,4922.0,0.5618721461187215
2005,A305,FORTALEZA,CE,NE,-3.83222221,-38.53777777,26.45,-3.75,-38.5,6421,10.057723972102671,False,7887.0,0.9003424657534247
2005,A306,SOBRAL,CE,NE,-3.73166666,-40.34555555,109.62,-3.75,-40.25,6414,10.796868768394305,False,6330.0,0.7226027397260274
2005,A307,PETROLINA,PE,NE,-9.38805555,-40.48944444,370.46,-9.5,-40.5,10116,12.501403239169816,False,8398.0,0.958675799086758
2005,A308,PARNAIBA,PI,NE,-3.08638888,-41.78333333,79.5,-3.0,-41.75,5925,10.29441727986661,False,7964.0,0.9091324200913242
2005,A309,ARCO VERDE,PE,NE,-8.41694443,-37.08333333,680.7,-8.5,-37.0,9486,13.011448886449122,False,8613.0,0.9832191780821918
2005,A310,AREIA,PB,NE,-6.97499999,-35.68499999,574.62,-7.0,-35.75,8525,7.693762872515994,False,8397.0,0.9585616438356164
2005,A311,FLORIANO,PI,NE,-6.76666666,-43.01666666,123.27,-6.75,-43.0,8335,2.6118021665199564,False,6824.0,0.7789954337899543
2005,A312,TERESINA,PI,NE,-5.07388888,-42.80694444,74.36,-5.0,-42.75,7209,10.358010780538203,False,4274.0,0.4878995433789954
2005,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,False,7762.0,0.8860730593607306
2005,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.266082519300161,False,1153.0,0.13162100456621
