codigo,anos_validos_tendencia,primeiro_ano_valido,ultimo_ano_valido,amplitude_anos,maior_sequencia_consecutiva,cobertura_calendario_mediana,cobertura_calendario_min,estacao,uf,regiao,coordenada_estavel_5km,rede_tendencia_10a,rede_tendencia_15a,rede_consecutiva_10a,rede_consecutiva_15a
A136,6,2010.0,2018.0,9,2,0.8881278538812786,0.808287795992714,PORTO WALTER,AC,N,True,False,False,False,False
A137,3,2012.0,2015.0,4,2,0.8724954462659381,0.8585616438356164,MARECHAL THAUMATURGO,AC,N,True,False,False,False,False
A138,0,,,0,0,,,FEIJO,AC,N,False,False,False,False,False
A140,12,2010.0,2025.0,16,10,0.9756278538812786,0.8748858447488584,EPITACIOLANDIA,AC,N,True,True,False,True,False
A144,3,2023.0,2025.0,3,3,0.8985159817351598,0.8570127504553734,NOVO ARIPUANA,AM,N,True,False,False,False,False
A201,18,2008.0,2025.0,18,18,0.9799086757990868,0.8073770491803278,BELEM,PA,N,True,True,True,True,True
A202,15,2003.0,2025.0,23,5,0.9904371584699454,0.8844748858447489,CASTANHAL,PA,N,True,True,True,False,False
A203,19,2004.0,2025.0,22,14,0.9941780821917808,0.8075342465753425,SAO LUIS,MA,NE,True,True,True,True,False
A204,11,2008.0,2023.0,16,4,0.9098360655737705,0.8592465753424657,BALSAS,MA,NE,True,True,False,False,False
A205,13,2008.0,2025.0,18,9,0.9981785063752276,0.8247716894977168,CAROLINA,MA,NE,True,True,False,False,False
A206,12,2009.0,2025.0,17,6,0.9976598173515983,0.8300228310502283,CHAPADINHA,MA,NE,True,True,False,False,False
A207,12,2009.0,2024.0,16,9,0.9857876712328767,0.8047945205479452,GRAJAU,MA,NE,True,True,False,False,False
A209,10,2009.0,2023.0,15,6,0.9985752426578836,0.858675799086758,MEDICILANDIA,PA,N,True,True,False,False,False
A210,6,2009.0,2025.0,17,4,0.9430365296803653,0.8378995433789954,PACAJA,PA,N,True,False,False,False,False
A211,12,2008.0,2024.0,17,7,0.983190795219203,0.8552511415525114,PLACAS,PA,N,True,True,False,False,False
A212,0,,,0,0,,,PARAGOMINAS,PA,N,False,False,False,False,False
A213,13,2008.0,2025.0,18,6,0.969634703196347,0.817964480874317,TOME ACU,PA,N,True,True,False,False,False
A214,12,2009.0,2024.0,16,10,0.997716894977169,0.8345890410958904,RONDON DO PARA,PA,N,True,True,False,True,False
A215,11,2009.0,2024.0,16,6,0.9618721461187215,0.8167808219178082,SALINOPOLIS,PA,N,True,True,False,False,False
A216,3,2017.0,2025.0,9,1,0.9979452054794521,0.9759132420091324,SAO FELIX DO XINGU,PA,N,True,False,False,False,False
A217,7,2009.0,2018.0,10,3,0.9981735159817352,0.8155251141552512,FAROL de SANTANA,MA,NE,True,False,False,False,False
A218,11,2009.0,2024.0,16,7,0.9969178082191781,0.808675799086758,PREGUICAS,MA,NE,True,True,False,False,False
A219,13,2009.0,2025.0,17,11,0.9984018264840183,0.8084474885844749,TURIACU,MA,NE,True,True,False,True,False
A220,12,2009.0,2025.0,17,4,0.9969178082191781,0.9110883424408015,BACABAL,MA,NE,True,True,False,False,False
A221,12,2008.0,2020.0,13,9,0.9685502283105023,0.8081739526411658,BARRA DO CORDA,MA,NE,True,True,False,False,False
A222,13,2009.0,2024.0,16,6,0.95525956284153,0.8146630236794171,COLINAS,MA,NE,True,True,False,False,False
A223,13,2009.0,2024.0,16,10,0.9996584699453552,0.8234018264840183,ALTO PARNAIBA,MA,NE,True,True,False,True,False
A224,14,2008.0,2025.0,18,7,0.997716894977169,0.8318533697632058,ESTREITO,MA,NE,True,True,False,False,False
A225,15,2008.0,2023.0,16,8,0.9982876712328768,0.8224043715846995,IMPERATRIZ,MA,NE,True,True,True,False,False
A226,14,2009.0,2025.0,17,8,0.9978329216258702,0.8329918032786885,BRAGANCA,PA,N,True,True,False,False,False
A227,0,,,0,0,,,SOURE,PA,N,False,False,False,False,False
A228,2,2018.0,2019.0,2,2,1.0,1.0,BREVES,PA,N,True,False,False,False,False
A229,14,2008.0,2024.0,17,11,0.9983447488584475,0.8099954462659381,TUCURUI,PA,N,True,True,False,True,False
A230,7,2009.0,2018.0,10,5,0.9833788706739527,0.8068493150684931,SERRA DOS CARAJAS,PA,N,True,False,False,False,False
A231,10,2009.0,2025.0,17,4,0.9921903460837886,0.8334471766848816,ITAITUBA,PA,N,True,True,False,False,False
A232,0,,,0,0,,,OBIDOS,PA,N,False,False,False,False,False
A233,9,2009.0,2024.0,16,6,0.9986301369863013,0.8754566210045662,SANTANA DO ARAGUAIA,PA,N,True,False,False,False,False
A234,6,2017.0,2025.0,9,3,0.9998287671232877,0.8305936073059361,TUCUMA,PA,N,True,False,False,False,False
A235,11,2009.0,2021.0,13,6,0.9995433789954338,0.8631278538812786,NOVO REPARTIMENTO,PA,N,True,True,False,False,False
A236,9,2009.0,2019.0,11,4,0.8952054794520548,0.8014840182648402,CAMETA,PA,N,True,False,False,False,False
A237,10,2009.0,2024.0,16,3,0.9888824949472266,0.8765981735159817,CAXIAS,MA,NE,True,True,False,False,False
A238,12,2009.0,2025.0,17,9,0.9986872146118722,0.8810502283105023,BURITICUPU,MA,NE,True,True,False,False,False
A239,5,2013.0,2025.0,13,2,0.8961187214611872,0.8323059360730594,MONTE ALEGRE,PA,N,True,False,False,False,False
A240,0,,,0,0,,,MARABA,PA,N,False,False,False,False,False
A241,0,,,0,0,,,CONCEICAO DO ARAGUAIA,PA,N,False,False,False,False,False
A242,8,2009.0,2025.0,17,3,0.9894406392694064,0.8611872146118722,OIAPOQUE,AP,N,True,False,False,False,False
A244,4,2020.0,2025.0,6,3,0.9868150684931507,0.9536657559198543,PORTO GRANDE,AP,N,True,False,False,False,False
A245,3,2023.0,2025.0,3,3,0.9914383561643836,0.9138127853881278,PORTO DE MOZ,PA,N,True,False,False,False,False
A246,5,2012.0,2016.0,5,5,0.9982876712328768,0.83162100456621,MINA DO PALITO,PA,N,True,False,False,False,False
A247,5,2017.0,2024.0,8,3,0.9997716894977169,0.9074200913242009,XINGUARA,PA,N,True,False,False,False,False
A248,7,2012.0,2020.0,9,5,0.9972602739726028,0.8724885844748859,CAPITAO POCO,PA,N,True,False,False,False,False
A249,7,2014.0,2025.0,12,3,0.9905510018214936,0.8441780821917808,MACAPA,AP,N,True,False,False,False,False
A250,6,2016.0,2024.0,9,4,0.9614156810639518,0.8946347031963471,SANTAREM,PA,N,True,False,False,False,False
A251,0,,,0,0,,,ITAUBAL,AP,N,True,False,False,False,False
A252,7,2018.0,2025.0,8,4,0.9996575342465753,0.8148401826484019,DOM ELISEU,PA,N,True,False,False,False,False
A253,4,2019.0,2025.0,7,3,0.9929325111660054,0.9257990867579908,ALTAMIRA,PA,N,True,False,False,False,False
A254,5,2020.0,2025.0,6,3,0.983675799086758,0.8358447488584475,REDENCAO,PA,N,True,False,False,False,False
A255,4,2020.0,2025.0,6,3,0.9884132420091325,0.9865664845173042,ZE DOCA,MA,NE,True,False,False,False,False
A256,3,2021.0,2025.0,5,2,0.9127853881278539,0.9075342465753424,SANTA MARIA DAS BARREIRAS,PA,N,True,False,False,False,False
A301,15,2005.0,2021.0,17,12,0.9861872146118722,0.861986301369863,RECIFE,PE,NE,True,True,True,True,False
A303,19,2003.0,2025.0,23,11,0.9988584474885844,0.8473744292237443,MACEIO,AL,NE,True,True,True,True,False
A304,0,,,0,0,,,NATAL,RN,NE,False,False,False,False,False
A305,15,2004.0,2023.0,20,5,0.9842465753424657,0.8132420091324201,FORTALEZA,CE,NE,True,True,True,False,False
A306,12,2006.0,2023.0,18,5,0.9446287771040747,0.8178506375227687,SOBRAL,CE,NE,True,True,False,False,False
A307,17,2003.0,2021.0,19,7,0.9979452054794521,0.8579908675799087,PETROLINA,PE,NE,True,True,True,False,False
A308,15,2004.0,2023.0,20,10,0.9487442922374429,0.8193306010928961,PARNAIBA,PI,NE,True,True,True,True,False
A309,19,2005.0,2025.0,21,16,0.9832191780821918,0.8318533697632058,ARCO VERDE,PE,NE,True,True,True,True,True
A310,19,2005.0,2024.0,20,10,0.9988584474885844,0.8264840182648402,AREIA,PB,NE,True,True,True,True,False
A311,13,2006.0,2023.0,18,9,0.997716894977169,0.8111872146118722,FLORIANO,PI,NE,True,True,False,False,False
