codigo,estacao,uf,anos_total,anos_desempenho_extremo,bias_mediano_c,rmse_mediano_c,correlacao_mediana,bias_min_c,bias_max_c,rmse_max_c,pct_anos_desempenho_extremo,comportamento_persistente
A323,PAO DE ACUCAR,AL,17,0,-1.3791612917565645,1.8617005501228552,0.965545977760074,-1.5561412852645107,-1.1464230717979673,2.022622355476394,0.0,False
A324,TAUA,CE,16,0,-1.3516157044872514,1.9146620163341703,0.9523130869708408,-1.8410421412374447,-0.7610345354331591,2.3599381597590106,0.0,False
A325,QUIXERAMOBIM,CE,19,0,-0.7531847067230921,1.4280887550982189,0.9505264949142489,-1.0885911987097532,-0.31460869376347206,1.6797085719980387,0.0,False
A326,BOM JESUS DO PIAUI,PI,19,0,-1.154292443976601,2.1696851817743346,0.9339191432299897,-1.6714073975597246,-0.49322564894850296,2.5578769359894347,0.0,False
A327,PALMEIRA DOS INDIOS,AL,19,0,-1.407229182488724,1.8461666124507148,0.9648873801474372,-1.7313249773471622,-1.2868860021606159,2.1477640346765994,0.0,False
A328,SURUBIM,PE,18,0,-0.38571053958413304,1.3184628682909039,0.9588491364658365,-1.3086893338362515,-0.21451785040359247,1.850024755097345,0.0,False
A329,CABROBO,PE,19,0,-0.8487565272290435,1.383735917686333,0.9606434755175561,-1.0866751445856901,-0.3433239475871904,1.7284799624577185,0.0,False
A330,PAULISTANA,PI,19,0,-0.9756179363891841,1.5968840930300603,0.943607941712546,-1.2614311409592462,-0.5111930363944887,1.8986566193049097,0.0,False
A331,SAO JOAO DO PIAUI,PI,18,0,-0.9378030687033101,1.9143642890060328,0.9312935327688956,-1.5343016107760392,-0.5968267945078668,2.3012364098128653,0.0,False
A332,MORADA NOVA,CE,19,0,-0.14781293104181686,1.348270117803761,0.9440075418798506,-0.4057191239739906,0.5943523908428022,1.572048511772265,0.0,False
A333,SAO GONCALO,PB,19,0,-0.37452365815770344,1.7365356897615,0.9090676541494923,-0.8556276645002271,0.21294996881959047,2.119211597231145,0.0,False
A334,MONTEIRO,PB,19,0,-0.6916697916489877,1.3165723660852708,0.9667347772194128,-1.141101044652691,-0.3389654114031211,1.6287204072526573,0.0,False
A335,PIRIPIRI,PI,19,0,-0.0543905706066988,1.752129042271039,0.9311382631654715,-1.5422561500179155,0.6677862926943241,2.282537587760715,0.0,False
A336,ALVORADA DO GURGUEIA,PI,19,0,-0.7515571165722054,1.9628570514954504,0.9328954816105134,-1.3606878455752922,0.43295554313377804,2.6971067543251857,0.0,False
A337,CARACOL,PI,17,0,-0.8077836652556442,2.119248404526853,0.9346277729068786,-2.677671616230536,-0.3482468504952685,2.8421236444690776,0.0,False
A338,ESPERANTINA,PI,11,0,0.25164249085583007,1.9469797367520756,0.9179142931415072,-0.14008951619709417,0.8717072262241166,2.3004714449425627,0.0,False
A339,JAGUARUANA,CE,19,0,-0.819792274416692,1.4648873508274871,0.9522909875298058,-1.417776854650423,-0.552611479156597,1.966291860908611,0.0,False
A340,APODI,RN,18,0,-0.10875596329638026,1.405628001571273,0.944196284882931,-0.5129337682132723,0.3529936342299722,1.7966648925428899,0.0,False
A341,CARUARU,PE,19,0,-0.7301713298264398,1.5447841567349831,0.9557733978421357,-1.204932470151251,2.324375677934943,2.5338392807981176,0.0,False
A342,CRATEUS,CE,18,0,-1.067400671994041,1.7820557750273152,0.9539751334644597,-1.4612735499827372,-0.7487353792232583,2.041743394102483,0.0,False
A343,PICOS,PI,18,0,-1.1860922851020759,2.0237865514010913,0.9354296242588138,-2.596709604488253,-0.6946581887758303,2.807633276234892,0.0,False
A344,CALCANHAR,RN,15,0,-0.9079133418187114,1.4992866952147321,0.8914702127376002,-1.2572604102241967,-0.24801605072112065,1.617537054126936,0.0,False
A345,SAO RAIMUNDO NONATO,PI,18,0,-1.2938687345619764,2.5107807825197943,0.9160055742458812,-3.7014464704613936,-0.926162363212531,3.768158160186925,0.0,False
A346,URUCUI,PI,18,0,-0.43108052919583456,1.9144120504158748,0.9135037155918184,-0.8777550909742502,0.15475445310835043,2.1614724880577696,0.0,False
A347,CAMPOS SALES,CE,15,0,-0.6642014260761995,1.6213046251477938,0.944141795156045,-1.3038699877856343,-0.18180298868530995,2.6305369673333336,0.0,False
A348,CABACEIRAS,PB,18,0,-1.2767916657782172,1.7231707888566867,0.966714289540942,-1.5164545128139055,-1.1248475537901408,1.9838915996774547,0.0,False
