rede,variavel,nome_variavel,codigo,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,valor_inicial_c,valor_final_c,n,mk_s,mk_tau,mk_var_classica,mk_z_classico,mk_p_classico,sen_slope_c_ano,sen_slope_c_decada,rho1_rank_detrendido,limite_acf_aprox,n_lags_acf_significativos,fator_correcao_hamed_rao,mk_var_modificada,mk_z_modificado,mk_p_modificado,mk_p_modificado_fdr,significativo_classico_p05,significativo_modificado_p05,significativo_modificado_fdr05,classificacao_classica,classificacao_modificada,classificacao_modificada_fdr,mudou_significancia_com_correcao,delta_p_modificado_menos_classico
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A510,VICOSA,MG,Sudeste,11,2011,2021,-0.9132328033447266,-2.7991714477539062,11,-5,-0.09090909090909091,165.0,-0.3113995776646092,0.7554968749288828,-0.03427696228027344,-0.3427696228027344,0.091324200913242,0.5909513763026626,0,1.0,165.0,-0.3113995776646092,0.7554968749288828,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A513,OURO BRANCO,MG,Sudeste,12,2010,2021,-3.2341785430908203,-2.083545684814453,12,30,0.45454545454545453,212.66666666666666,1.9886038958388508,0.0467449410537113,0.09285695212227957,0.9285695212227957,0.02972027972027972,0.5657928670380857,0,1.0,212.66666666666666,1.9886038958388508,0.0467449410537113,0.22094091724169518,True,True,False,crescente,crescente,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A521,PAMPULHA,MG,Sudeste,17,2009,2025,-4.46650505065918,-3.2603511810302734,17,24,0.17647058823529413,589.3333333333334,0.9474304377573798,0.3434194871827416,0.036368370056152344,0.36368370056152344,-0.27450980392156865,0.4753610900391235,0,1.0,589.3333333333334,0.9474304377573798,0.3434194871827416,0.6434607747857742,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A531,MARIA DA FE,MG,Sudeste,18,2008,2025,-1.8353023529052734,-2.044384002685547,18,-1,-0.006535947712418301,697.0,0.0,1.0,-0.0034418106079101562,-0.03441810607910156,0.24948347107438015,0.4619679414498925,2,1.8115125182304328,1262.6242252066118,0.0,1.0,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A533,GUANHAES,MG,Sudeste,11,2008,2018,0.7400360107421875,-0.6363296508789062,11,-5,-0.09090909090909091,165.0,-0.3113995776646092,0.7554968749288828,-0.05713510513305664,-0.5713510513305664,-0.3789954337899543,0.5909513763026626,0,1.0,165.0,-0.3113995776646092,0.7554968749288828,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A539,MOCAMBINHO,MG,Sudeste,10,2016,2025,-2.0224609375,-2.4012222290039062,10,-13,-0.28888888888888886,125.0,-1.073312629199899,0.28313087066234677,-0.054120635986328124,-0.5412063598632812,-0.5152439024390244,0.6197950323045613,0,1.0,125.0,-1.073312629199899,0.28313087066234677,0.588041039067951,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A555,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,-1.4665031433105469,-0.8469715118408203,14,27,0.2967032967032967,333.6666666666667,1.4233671437735331,0.1546297519658153,0.04765627934382512,0.47656279343825114,-0.43502202643171806,0.5238224086117984,0,1.0,333.6666666666667,1.4233671437735331,0.1546297519658153,0.46388925589744584,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A701,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,-2.4532737731933594,-4.503810882568359,11,1,0.01818181818181818,165.0,0.0,1.0,0.0008606910705566406,0.008606910705566406,-0.1187214611872146,0.5909513763026626,0,1.0,165.0,0.0,1.0,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A703,PONTA PORA,MS,Centro-Oeste,10,2012,2021,0.2500953674316406,0.0439453125,10,1,0.022222222222222223,125.0,0.0,1.0,0.01759052276611328,0.1759052276611328,-0.7987804878048781,0.6197950323045613,1,2.118292682926829,264.7865853658536,0.0,1.0,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A801,PORTO ALEGRE,RS,Sul,19,2007,2025,-0.8342781066894531,-0.7541999816894531,19,35,0.2046783625730994,817.0,1.1895094285202432,0.23423926303398224,0.05604347815880409,0.5604347815880408,0.11228070175438597,0.4496465758731267,0,1.0,817.0,1.1895094285202432,0.23423926303398224,0.5603108975629036,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
