codigo,ano,classificacao,lag_era5_h,n_pares,bias_c,rmse_c,correlacao
A316,2015,anomalia,24,8029,-1.1638710498809814,7.648323059082031,-0.5695099786210281
A402,2006,controle,-24,6619,-0.9899184703826904,2.723450183868408,0.7604940696568934
A402,2006,controle,-23,6621,-0.9820189476013184,2.804643154144287,0.7422920828672095
A402,2006,controle,-22,6624,-0.9756968021392822,3.0654187202453613,0.682268335593382
A402,2006,controle,-21,6629,-0.9704068899154663,3.433964967727661,0.5887213941517201
A402,2006,controle,-20,6636,-0.9693772792816162,3.8479604721069336,0.47168752765894584
A402,2006,controle,-19,6642,-0.9697393774986267,4.261201858520508,0.3418938009489055
A402,2006,controle,-18,6648,-0.9706528782844543,4.648143291473389,0.20811254526121056
A402,2006,controle,-17,6653,-0.9737605452537537,4.993819236755371,0.07897475115894835
A402,2006,controle,-16,6660,-0.9769541025161743,5.28725004196167,-0.038924436155505
A402,2006,controle,-15,6666,-0.9799846410751343,5.527011871337891,-0.1400458336539651
A402,2006,controle,-14,6670,-0.9841466546058655,5.707949161529541,-0.2185969072968741
A402,2006,controle,-13,6672,-0.9864035248756409,5.822922706604004,-0.2701483165097824
A402,2006,controle,-12,6678,-0.9879009127616882,5.868988513946533,-0.2912080420288232
A402,2006,controle,-11,6685,-0.9910441637039185,5.844247817993164,-0.28041179789550613
A402,2006,controle,-10,6693,-0.9913510084152222,5.7466230392456055,-0.23748251175846263
A402,2006,controle,-9,6696,-0.9927675127983093,5.580768585205078,-0.16486993654760776
A402,2006,controle,-8,6699,-0.994102418422699,5.35219669342041,-0.06668165967028952
A402,2006,controle,-7,6703,-0.9966524243354797,5.059976577758789,0.05217194596078694
A402,2006,controle,-6,6710,-0.9967211484909058,4.713131904602051,0.18467387230559454
A402,2006,controle,-5,6717,-0.9960393309593201,4.319519519805908,0.3231601637981181
A402,2006,controle,-4,6726,-0.9935669898986816,3.895947217941284,0.45847160848567764
A402,2006,controle,-3,6739,-0.9929059743881226,3.460158348083496,0.582921956442426
A402,2006,controle,-2,6755,-0.9916085004806519,3.043400526046753,0.6879950929659917
A402,2006,controle,-1,6770,-0.9896937608718872,2.7162911891937256,0.7609394046709521
A402,2006,controle,0,6816,-0.9857847094535828,2.5703141689300537,0.7901026389791064
A402,2006,controle,1,6770,-0.9839131832122803,2.664395570755005,0.7711760674953705
A402,2006,controle,2,6755,-0.980435848236084,2.948291301727295,0.7090996445727155
A402,2006,controle,3,6739,-0.976230800151825,3.3423075675964355,0.6128386348003046
A402,2006,controle,4,6726,-0.9728047847747803,3.772738218307495,0.4938803767009162
A402,2006,controle,5,6717,-0.9702011942863464,4.199337005615234,0.3615346471072791
A402,2006,controle,6,6710,-0.9673213362693787,4.59800386428833,0.2246466184010364
A402,2006,controle,7,6703,-0.9671485424041748,4.953679084777832,0.09242631234589521
A402,2006,controle,8,6699,-0.9682706594467163,5.256173133850098,-0.02783603153335858
A402,2006,controle,9,6696,-0.968485414981842,5.499708652496338,-0.13051188129126404
A402,2006,controle,10,6693,-0.9684308767318726,5.681255340576172,-0.21062846256641118
A402,2006,controle,11,6685,-0.9682702422142029,5.798710823059082,-0.26336991877945065
A402,2006,controle,12,6678,-0.9712148308753967,5.847588539123535,-0.28490340804604414
A402,2006,controle,13,6672,-0.9735221862792969,5.825463771820068,-0.2741270369426941
A402,2006,controle,14,6670,-0.9763720035552979,5.732481956481934,-0.23134953567672217
A402,2006,controle,15,6666,-0.9783105254173279,5.571436405181885,-0.1595423947417249
