ano,codigo,datetime_utc,grid_index,temp_inmet_c,temp_era5_c,erro_c,erro_abs,ranking
2002,A705,2002-11-13 18:00:00,18293,19.9,27.673243,7.7732425,7.773242473602295,17
2002,A705,2002-05-16 21:00:00,18293,17.9,25.406397,7.506397,7.506396770477295,18
2002,A705,2002-05-18 22:00:00,18293,19.9,27.31582,7.4158206,7.415820598602295,19
2002,A705,2002-08-29 21:00:00,18293,17.1,24.455225,7.355225,7.355225086212158,20
2002,A706,2002-05-19 16:00:00,18629,11.2,25.78457,14.584571,14.58457088470459,1
2002,A706,2002-08-06 16:00:00,18629,11.4,25.863184,14.463184,14.463184356689453,2
2002,A706,2002-10-19 18:00:00,18629,15.9,29.617579,13.717579,13.717578887939453,3
2002,A706,2002-05-19 17:00:00,18629,12.8,25.775293,12.975293,12.975293159484863,4
2002,A706,2002-05-19 15:00:00,18629,12.2,25.02212,12.82212,12.82211971282959,5
2002,A706,2002-12-06 18:00:00,18629,16.1,28.292871,12.192871,12.19287109375,6
2002,A706,2002-10-19 19:00:00,18629,17.0,29.082422,12.082422,12.082422256469727,7
2002,A706,2002-05-19 18:00:00,18629,13.1,24.257715,11.157715,11.15771484375,8
2002,A706,2002-11-28 18:00:00,18629,17.8,28.671045,10.871045,10.871045112609863,9
2002,A706,2002-10-01 18:00:00,18629,14.9,25.542383,10.642384,10.642383575439453,10
2002,A706,2002-10-04 16:00:00,18629,15.0,25.599268,10.599268,10.599267959594727,11
2002,A706,2002-12-07 20:00:00,18629,15.8,26.271143,10.471143,10.471142768859863,12
2002,A706,2002-11-30 17:00:00,18629,17.6,28.044336,10.444336,10.4443359375,13
2002,A706,2002-09-20 18:00:00,18629,16.9,27.333155,10.433155,10.433155059814453,14
2002,A706,2002-10-04 15:00:00,18629,14.3,24.711084,10.411084,10.411084175109863,15
2002,A706,2002-10-17 01:00:00,18629,15.7,26.102442,10.402442,10.40244197845459,16
2002,A706,2002-10-17 02:00:00,18629,14.7,25.066065,10.366065,10.36606502532959,17
2002,A706,2002-10-17 03:00:00,18629,13.8,24.158594,10.358594,10.358593940734863,18
