codigo,estacao,uf,regiao,n_anos_consecutivos,ano_inicio_segmento,ano_fim_segmento,rede_consecutiva_15a,rede_consecutiva_10a
A751,SETE QUEDAS,MS,Centro-Oeste,3,2023,2025,False,False
A752,ITAQUIRAI,MS,Centro-Oeste,2,2017,2018,False,False
A753,ITUVERAVA,SP,Sudeste,4,2010,2013,False,False
A754,SIDROLANDIA,MS,Centro-Oeste,8,2009,2016,False,False
A755,BARUERI,SP,Sudeste,4,2012,2015,False,False
A756,AGUA CLARA,MS,Centro-Oeste,5,2012,2016,False,False
A757,BELA VISTA,MS,Centro-Oeste,6,2012,2017,False,False
A758,JARDIM,MS,Centro-Oeste,3,2013,2015,False,False
A759,BATAGUASSU,MS,Centro-Oeste,3,2023,2025,False,False
A762,DRACENA,SP,Sudeste,3,2017,2019,False,False
A763,MARILIA,SP,Sudeste,6,2020,2025,False,False
A764,BEBEDOURO,SP,Sudeste,2,2024,2025,False,False
A765,BERTIOGA,SP,Sudeste,3,2023,2025,False,False
A766,REGISTRO,SP,Sudeste,1,2018,2018,False,False
A767,SAO SEBASTIAO,SP,Sudeste,2,2018,2019,False,False
A768,TUPA,SP,Sudeste,3,2023,2025,False,False
A769,CACHOEIRA PAULISTA,SP,Sudeste,2,2018,2019,False,False
A770,SAO SIMAO,SP,Sudeste,6,2020,2025,False,False
A771,SAO PAULO - INTERLAGOS,SP,Sudeste,5,2019,2023,False,False
A801,PORTO ALEGRE,RS,Sul,19,2007,2025,True,True
A803,SANTA MARIA,RS,Sul,5,2015,2019,False,False
A805,SANTO AUGUSTO,RS,Sul,7,2018,2024,False,False
A806,FLORIANOPOLIS,SC,Sul,8,2016,2023,False,False
A807,CURITIBA,PR,Sul,6,2015,2020,False,False
A808,TORRES,RS,Sul,5,2007,2011,False,False
A809,URUGUAIANA,RS,Sul,5,2007,2011,False,False
A810,SANTA ROSA,RS,Sul,2,2011,2012,False,False
A811,CANGUCU,RS,Sul,11,2009,2019,False,True
A812,CACAPAVA DO SUL,RS,Sul,4,2015,2018,False,False
A813,RIO PARDO,RS,Sul,6,2007,2012,False,False
A814,URUSSANGA,SC,Sul,5,2012,2016,False,False
A815,SAO JOAQUIM,SC,Sul,7,2016,2022,False,False
A816,NOVO HORIZONTE,SC,Sul,5,2009,2013,False,False
A817,INDAIAL,SC,Sul,7,2007,2013,False,False
A818,IVAI,PR,Sul,7,2007,2013,False,False
A819,CASTRO,PR,Sul,5,2007,2011,False,False
A820,MAL. CANDIDO RONDON,PR,Sul,3,2007,2009,False,False
A821,JOAQUIM TAVORA,PR,Sul,7,2008,2014,False,False
A822,NOVA TEBAS,PR,Sul,3,2007,2009,False,False
A823,INACIO MARTINS,PR,Sul,4,2007,2010,False,False
