ano,amostra,area,n_pares,n_estacoes,media_inmet_c_pares,media_era5_c_pares,bias_pares_c,mae_pares_c,rmse_pares_c,correlacao_pares,erro_p05_pares_c,erro_mediana_pares_c,erro_p95_pares_c,n_abs_erro_gt5,n_abs_erro_gt10,pct_abs_erro_gt5,pct_abs_erro_gt10,n_estacoes_equilibradas,n_pares_mediana_estacao,bias_media_estacoes_c,bias_mediana_estacoes_c,mae_media_estacoes_c,mae_mediana_estacoes_c,rmse_equilibrado_estacoes_c,rmse_mediana_estacoes_c,correlacao_mediana_estacoes,n_pares_completa,bias_pares_c_completa,mae_pares_c_completa,rmse_pares_c_completa,correlacao_pares_completa,pares_removidos_qc,delta_bias_qc_c,delta_mae_qc_c,delta_rmse_qc_c,delta_correlacao_qc
2004,principal,Sudeste,63163,14,22.713642478277958,21.64324872186449,-1.070393758871809,1.7190970466818094,2.1812697059419506,0.9078134904362363,-3.993939995765686,-1.1060054302215576,2.0527153015136705,1248,44,1.9758402862435287,0.06966103573294492,14,4130.0,-0.8021528661074279,-0.9609116164029994,1.9323989679538816,1.6220379825794748,2.52066340724209,2.058603831798334,0.920434697670036,63163,-1.070393758871809,1.7190970466818094,2.1812697059419537,0.9078134904362367,0,0.0,0.0,-3.1086244689504383e-15,-4.440892098500626e-16
2004,principal,Sul,33827,6,20.027111480799785,19.78318441763305,-0.24392706156263932,1.3752128114485431,1.817406341755401,0.9544580188433868,-3.1061177492141723,-0.2693355679512024,2.660444736480709,529,7,1.563839536464954,0.020693528837910546,6,6074.5,-0.26062716050197726,-0.33405119439805525,1.4438877707036497,1.357108180845985,1.9182509431085408,1.774295416098346,0.9434920429753151,33827,-0.24392706156263932,1.3752128114485431,1.8174063417554072,0.9544580188433874,0,0.0,0.0,-6.217248937900877e-15,-6.661338147750939e-16
2005,principal,Brasil,418296,61,24.369266018900273,23.844531581307926,-0.5247344408211475,1.4652955214774508,1.9454794878469348,0.9378155919927521,-3.517547309398651,-0.5188961029052734,2.4589725732803345,7988,224,1.9096524948840055,0.053550595750377725,61,7806.0,-0.4829875322434542,-0.47268432782238784,1.4729021491879113,1.3916334189242685,1.9519991112557082,1.7850701804600397,0.9278124556420364,419449,-0.47730466699977125,1.5072550127459294,2.1418344554236386,0.9237622792296618,1153,-0.04742977382137625,-0.041959491268478644,-0.1963549675767038,0.014053312763090298
2005,principal,Norte,33905,5,27.539115161442894,26.685804280769226,-0.8533108939347791,1.6314359299089156,2.101185212284238,0.8822084125991199,-3.824589490890503,-0.8337520360946655,2.1691117763519285,617,33,1.8197905913582069,0.09733077717150862,5,6587.0,-0.9279182501287611,-0.36374188643688027,1.6866030711247297,1.8092387381058765,2.1558462639419966,2.1675571713447996,0.8870552651635651,33905,-0.8533108939347792,1.6314359299089156,2.1011852122842285,0.882208412599119,0,1.1102230246251565e-16,0.0,9.325873406851315e-15,8.881784197001252e-16
2005,principal,Nordeste,147705,21,26.220204456812688,25.621960348573037,-0.59824411304338,1.2809587507064184,1.746344717608745,0.9139234622485848,-3.327040672302246,-0.5333980321884155,1.8171976089477515,2721,15,1.8421854371889916,0.010155377272265665,21,7762.0,-0.604305017142384,-0.5463990135826021,1.2855012767323422,1.1053687097628913,1.7362761052546924,1.410978017966472,0.9278124556420364,148858,-0.4640280960898091,1.4006191448388883,2.3058325241521422,0.8559023263425934,1153,-0.13421601695357088,-0.11966039413246987,-0.5594878065433972,0.05802113590599134
2005,principal,Centro-Oeste,86661,14,24.99463887955329,24.67982284206823,-0.31481603823855764,1.5830806550086842,2.0973333107360337,0.9138756101867602,-3.467528820037842,-0.38476523756980896,3.125049114227295,1813,125,2.092059865452741,0.1442402003207902,14,8096.5,-0.20209843387816326,-0.26984628498006336,1.5776000309323635,1.527214445738744,2.1017822410967777,1.9875414036165844,0.9215993937885152,86661,-0.3148160382385576,1.5830806550086842,2.0973333107360257,0.9138756101867582,0,-5.551115123125783e-17,0.0,7.993605777301127e-15,1.9984014443252818e-15
2005,principal,Sudeste,106797,14,22.429393147790904,21.828725372375246,-0.6006677753480071,1.6104685143044781,2.0718769013417337,0.9225790742494027,-3.759023141860962,-0.6261806488037109,2.6414944648742664,2145,35,2.0084833843647294,0.032772456155135445,14,8261.0,-0.5188186843895114,-0.6530233707932215,1.6123416869836087,1.4601536146121095,2.073144323915993,1.8499947756635757,0.9298153150166706,106797,-0.6006677753480071,1.6104685143044783,2.071876901341757,0.9225790742494069,0,0.0,-2.220446049250313e-16,-2.3092638912203256e-14,-4.218847493575595e-15
2005,principal,Sul,43228,7,19.097464602898025,18.848381234368595,-0.24908337161466698,1.3700575878919996,1.8213826831402538,0.9546997753099769,-3.023383343219757,-0.2832271605730057,2.6724319219589234,692,16,1.6008142870361803,0.037013047099102435,7,5211.0,-0.2913433143527711,-0.37013219630745614,1.394186411805167,1.344721691488113,1.8464790478896882,1.7666930788349087,0.961417577470984,43228,-0.24908337161466698,1.3700575878919996,1.8213826831402615,0.95469977530998,0,0.0,0.0,-7.771561172376096e-15,-3.1086244689504383e-15
2006,principal,Brasil,630215,151,23.60384932000811,23.118324854838924,-0.4855244664786076,1.5239375595645148,2.0138111983775002,0.931025289951339,-3.535644054412842,-0.5243160128593445,2.679173994064328,13412,453,2.1281626111723777,0.07188023134961878,150,3736.0,-0.44216923707234485,-0.4805720539586338,1.5839753846729376,1.4245612277291246,2.1298282249190508,1.8423289415118167,0.9188523561754116,630215,-0.48552446647860753,1.5239375595645153,2.0138111983774385,0.9310252899513464,0,-5.551115123125783e-17,-4.440892098500626e-16,6.17284001691587e-14,-7.327471962526033e-15
2006,principal,Norte,37420,6,27.678204158944027,26.461283385135605,-1.2169207838163156,1.7595939047531641,2.251662595224909,0.86248931093741,-4.127765917778015,-1.2101802825927734,1.657820159196853,809,79,2.161945483698557,0.21111704970603953,6,7220.0,-1.032511755458376,-0.8592866545074689,1.6772536842259445,1.7034338608280768,2.181608356367246,2.298247070687247,0.8956895161630732,37420,-1.2169207838163156,1.7595939047531641,2.2516625952249125,0.8624893109374084,0,0.0,0.0,-3.552713678800501e-15,1.5543122344752192e-15
