rede,codigo,estacao,uf,regiao,mk_p_delta_tmax,mk_p_tmax_era5,mk_p_tmax_inmet,mk_p_fdr_delta_tmax,mk_p_fdr_tmax_era5,mk_p_fdr_tmax_inmet,mk_tau_delta_tmax,mk_tau_tmax_era5,mk_tau_tmax_inmet,n_anos_delta_tmax,n_anos_tmax_era5,n_anos_tmax_inmet,sen_slope_c_ano_delta_tmax,sen_slope_c_ano_tmax_era5,sen_slope_c_ano_tmax_inmet,sen_slope_c_decada_delta_tmax,sen_slope_c_decada_tmax_era5,sen_slope_c_decada_tmax_inmet,significativo_fdr05_delta_tmax,significativo_fdr05_tmax_era5,significativo_fdr05_tmax_inmet,diferenca_sen_era5_menos_inmet_c_decada,mesmo_sinal_sen_inmet_era5,ambos_significativos_fdr
sensibilidade_10a,A507,UBERLANDIA,MG,Sudeste,0.5444860568259107,0.05824026959156134,0.0744081317635724,0.9103126262558194,0.3429541354115322,0.29366917979502327,0.1111111111111111,0.3333333333333333,0.3137254901960784,18,18,18,0.016911824544270832,0.11015973772321429,0.09999990463256836,0.16911824544270831,1.1015973772321428,0.9999990463256836,False,False,False,0.1015983309064592,True,False
sensibilidade_10a,A508,ALMENARA,MG,Sudeste,0.5021582515007487,0.29966544843430204,0.09824834872949123,0.8808349657472149,0.5507293897328447,0.30862128524728016,-0.15384615384615385,0.23076923076923078,0.358974358974359,13,13,13,-0.041684180902679585,0.043287797407670456,0.10912698412698413,-0.41684180902679585,0.4328779740767046,1.0912698412698414,False,False,False,-0.6583918671931368,True,False
sensibilidade_10a,A509,MONTE VERDE,MG,Sudeste,0.5444860568259107,0.05824026959156134,0.19564975830780015,0.9103126262558194,0.3429541354115322,0.41763911959466987,0.1111111111111111,0.3333333333333333,0.22875816993464052,18,18,18,0.018045152936662947,0.109832763671875,0.05555555555555555,0.18045152936662948,1.09832763671875,0.5555555555555556,False,False,False,0.5427720811631944,True,False
sensibilidade_10a,A510,VICOSA,MG,Sudeste,0.7526419827681855,0.0957466564738153,0.1619522382109209,0.9647390916123593,0.4268705101124266,0.38940767119774217,0.06666666666666667,0.31666666666666665,0.26666666666666666,16,16,16,0.02235126495361328,0.12365964253743489,0.15277793672349718,0.2235126495361328,1.2365964253743489,1.5277793672349718,False,False,False,-0.2911829418606229,True,False
sensibilidade_10a,A511,TIMOTEO,MG,Sudeste,0.8762696636277618,0.3502013891792958,0.43627492884052926,1.0,0.5827253056774516,0.6438816191163673,-0.05454545454545454,-0.23636363636363636,-0.2,11,11,11,-0.027555465698242188,-0.09520128038194445,-0.07857131958007812,-0.2755546569824219,-0.9520128038194444,-0.7857131958007812,False,False,False,-0.16629960801866317,True,False
sensibilidade_10a,A512,ITUIUTABA,MG,Sudeste,0.303673214899419,0.1147567343186491,0.09901983206246184,0.7141326152579743,0.447801807115027,0.30862128524728016,-0.24242424242424243,0.36363636363636365,0.3787878787878788,12,12,12,-0.06192593347458612,0.11092122395833334,0.13854169845581055,-0.6192593347458613,1.1092122395833335,1.3854169845581055,False,False,False,-0.276204744974772,True,False
sensibilidade_10a,A513,OURO BRANCO,MG,Sudeste,0.9211586502250249,0.42848041949799653,0.7659681439026508,1.0,0.6574847519146004,0.8582051455244359,0.02857142857142857,0.1619047619047619,0.06666666666666667,15,15,15,0.0031476338704427083,0.059651692708333336,0.0444441901312934,0.031476338704427086,0.5965169270833334,0.44444190131293404,False,False,False,0.15207502577039933,True,False
sensibilidade_10a,A515,VARGINHA,MG,Sudeste,0.4434214028640829,0.028539063570362466,0.04249873448881427,0.8548845064226464,0.32834275201196383,0.27559785395776526,0.16483516483516483,0.45054945054945056,0.4175824175824176,14,14,14,0.02305005391438802,0.183837890625,0.16249990463256836,0.23050053914388022,1.83837890625,1.6249990463256836,False,False,False,0.2133798599243164,True,False
sensibilidade_10a,A516,PASSOS,MG,Sudeste,0.7425568219265776,0.03749749081571985,0.053291446566761186,0.9647390916123593,0.32834275201196383,0.29366917979502327,-0.07692307692307693,0.42857142857142855,0.3956043956043956,14,14,14,-0.013671875,0.15714518229166666,0.16666666666666666,-0.13671875,1.5714518229166665,1.6666666666666665,False,False,False,-0.09521484375,True,False
sensibilidade_10a,A517,MURIAE,MG,Sudeste,1.0,0.16112494928905177,0.3472624244875814,1.0,0.447801807115027,0.5464276385319295,-0.01818181818181818,0.34545454545454546,0.23636363636363636,11,11,11,-0.0035643944373497595,0.12579900568181818,0.1,-0.0356439443734976,1.2579900568181817,1.0,False,False,False,0.25799005681818166,True,False
sensibilidade_10a,A518,JUIZ DE FORA,MG,Sudeste,0.7603323075218762,0.5829505577618919,0.2978601675498061,0.9647390916123593,0.7446004583347774,0.5019061090996733,-0.07692307692307693,0.1282051282051282,0.23076923076923078,13,13,13,-0.01476406328605883,0.04616487943209135,0.0881944497426351,-0.14764063286058832,0.4616487943209135,0.8819444974263511,False,False,False,-0.42029570310543757,True,False
sensibilidade_10a,A519,CAMPINA VERDE,MG,Sudeste,0.24372228477217445,0.37269149047151834,0.027842469454623646,0.6674290512184655,0.5827253056774516,0.23098977301618662,-0.2727272727272727,0.21212121212121213,0.5,12,12,12,-0.061796677418244184,0.0797000461154514,0.08174610137939453,-0.6179667741824418,0.797000461154514,0.8174610137939453,False,False,False,-0.020460552639431362,True,False
sensibilidade_10a,A520,CONCEICAO DAS ALAGOAS,MG,Sudeste,0.9128140271840749,0.18888747753953772,0.0891985826480211,1.0,0.4899263139963653,0.29366917979502327,0.03296703296703297,0.27472527472527475,0.3516483516483517,14,14,14,0.004497528076171875,0.10225423177083333,0.11666679382324219,0.04497528076171875,1.0225423177083333,1.1666679382324219,False,False,False,-0.14412562052408862,True,False
sensibilidade_10a,A521,PAMPULHA,MG,Sudeste,0.7618733947779847,0.15005063655725911,0.05253433340051772,0.9647390916123593,0.447801807115027,0.29366917979502327,0.058823529411764705,0.2549019607843137,0.33986928104575165,18,18,18,0.018246014912923176,0.144134521484375,0.10000010899135045,0.18246014912923175,1.44134521484375,1.0000010899135046,False,False,False,0.44134412493024544,True,False
sensibilidade_10a,A522,SERRA DOS AIMORES,MG,Sudeste,0.6312218204782533,0.7317017232242102,0.8370114751054462,0.9647390916123593,0.8464009122701674,0.8956022783628274,0.12121212121212122,0.09090909090909091,0.06060606060606061,12,12,12,0.03244446974534255,0.02161310369318182,0.019374823570251463,0.32444469745342547,0.21613103693181818,0.19374823570251465,False,False,False,0.02238280122930353,True,False
sensibilidade_10a,A523,PATROCINIO,MG,Sudeste,0.19261627432960213,0.02364221890919849,0.013344664289344157,0.641734467629042,0.32834275201196383,0.21967370445535767,0.30303030303030304,0.5151515151515151,0.5606060606060606,12,12,12,0.08630970546177455,0.317484458287557,0.20666707356770833,0.8630970546177454,3.1748445828755703,2.0666707356770835,False,False,False,1.1081738471984868,True,False
sensibilidade_10a,A524,FORMIGA,MG,Sudeste,0.5021582515007487,0.16055589143580892,0.2215356440220416,0.8808349657472149,0.447801807115027,0.4558521905838164,0.15384615384615385,0.3076923076923077,0.2692307692307692,13,13,13,0.01468862806047712,0.1881912549336751,0.14780219570621028,0.1468862806047712,1.881912549336751,1.478021957062103,False,False,False,0.4038905922746481,True,False
