ano,codigo,estacao,regiao,uf,latitude,longitude,altitude_m,data_fundacao,arquivo_origem,linhas_total,datetime_validos,temperaturas_validas,duplicados_datetime,primeiro_datetime_utc,ultimo_datetime_utc
2003,A401,SALVADOR,NE,BA,-13.01666666,-38.51666666,51.41,2000-05-13,2003/INMET_NE_BA_A401_SALVADOR_01-01-2003_A_31-12-2003.CSV,8760,8760,7917,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A402,BARREIRAS,NE,BA,-12.15,-45.01666666,470.37,2001-12-20,2003/INMET_NE_BA_A402_BARREIRAS_01-01-2003_A_31-12-2003.CSV,8760,8760,5204,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A404,LUIZ EDUARDO MAGALHAES,NE,BA,-12.15222222,-45.82972221,754.04,2002-04-18,2003/INMET_NE_BA_A404_LUIZ EDUARDO MAGALHAES_01-01-2003_A_31-12-2003.CSV,8760,8760,7968,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A405,CARAVELAS,NE,BA,-17.73333333,-39.26666666,2.88,2002-12-20,2003/INMET_NE_BA_A405_CARAVELAS_01-01-2003_A_31-12-2003.CSV,8760,8760,3084,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A406,CRUZ DAS ALMAS,NE,BA,-12.65,-39.15,225.87,2003-01-19,2003/INMET_NE_BA_A406_CRUZ DAS ALMAS_19-01-2003_A_31-12-2003.CSV,8328,8328,3601,0,2003-01-19T00:00:00,2003-12-31T23:00:00
2003,A407,ITIRUCU,NE,BA,-13.52833332,-40.11972221,755.61,2003-02-09,2003/INMET_NE_BA_A407_ITIRUCU_09-02-2003_A_31-12-2003.CSV,7824,7824,7819,0,2003-02-09T00:00:00,2003-12-31T23:00:00
2003,A408,ITABERABA,NE,BA,-12.51666666,-40.3,249.89,2003-01-29,2003/INMET_NE_BA_A408_ITABERABA_29-01-2003_A_31-12-2003.CSV,8088,8088,8075,0,2003-01-29T00:00:00,2003-12-31T23:00:00
2003,A410,ILHEUS,NE,BA,-14.65944444,-39.1811111,78.0,2003-01-25,2003/INMET_NE_BA_A410_ILHEUS_25-01-2003_A_31-12-2003.CSV,8184,8184,8179,0,2003-01-25T00:00:00,2003-12-31T23:00:00
2003,A412,MACAJUBA,NE,BA,-12.11666666,-40.18333333,380.0,2003-02-03,2003/INMET_NE_BA_A412_MACAJUBA_03-02-2003_A_31-12-2003.CSV,7968,7968,7747,0,2003-02-03T00:00:00,2003-12-31T23:00:00
2003,A305,FORTALEZA,NE,CE,-3.83222221,-38.53777777,26.45,2003-02-18,2003/INMET_NE_CE_A305_FORTALEZA_18-02-2003_A_31-12-2003.CSV,7608,7608,5722,0,2003-02-18T00:00:00,2003-12-31T23:00:00
2003,A306,SOBRAL,NE,CE,-3.73166666,-40.34555555,109.62,2003-02-12,2003/INMET_NE_CE_A306_SOBRAL_12-02-2003_A_31-12-2003.CSV,7752,7752,6215,0,2003-02-12T00:00:00,2003-12-31T23:00:00
2003,A203,SAO LUIS,NE,MA,-2.52694443,-44.21305555,56.0,2003-01-29,2003/INMET_NE_MA_A203_SAO LUIS_29-01-2003_A_31-12-2003.CSV,8088,8088,6637,0,2003-01-29T00:00:00,2003-12-31T23:00:00
2003,A307,PETROLINA,NE,PE,-9.38805555,-40.48944444,370.46,2003-02-21,2003/INMET_NE_PE_A307_PETROLINA_21-02-2003_A_31-12-2003.CSV,7536,7536,7516,0,2003-02-21T00:00:00,2003-12-31T23:00:00
2003,A308,PARNAIBA,NE,PI,-3.08638888,-41.78333333,79.5,2003-02-06,2003/INMET_NE_PI_A308_PARNAIBA_06-02-2003_A_31-12-2003.CSV,7896,7896,5495,0,2003-02-06T00:00:00,2003-12-31T23:00:00
2003,A302,ARQ.SAO PEDRO E SAO PAULO,NE,RN,0.9,-29.31666666,15.0,2003-11-02,2003/INMET_NE_RN_A302_ARQ.SAO PEDRO E SAO PAULO_02-11-2003_A_31-12-2003.CSV,1440,1440,117,0,2003-11-02T00:00:00,2003-12-31T23:00:00
2003,A304,NATAL,NE,RN,-5.9,-35.2,48.6,2003-02-24,2003/INMET_NE_RN_A304_NATAL_24-02-2003_A_31-12-2003.CSV,7464,7464,5007,0,2003-02-24T00:00:00,2003-12-31T23:00:00
2003,A409,ARACAJU,NE,SE,-10.95027777,-37.05,4.72,2003-02-12,2003/INMET_NE_SE_A409_ARACAJU_12-02-2003_A_31-12-2003.CSV,7752,7752,7722,0,2003-02-12T00:00:00,2003-12-31T23:00:00
2003,A101,MANAUS,N,AM,-3.10333333,-60.01638888,61.25,2000-05-09,2003/INMET_N_AM_A101_MANAUS_01-01-2003_A_31-12-2003.CSV,8760,8760,1958,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A201,BELEM,N,PA,-1.41027777,-48.43833333,24.0,2003-01-20,2003/INMET_N_PA_A201_BELEM_20-01-2003_A_31-12-2003.CSV,8304,8304,6279,0,2003-01-20T00:00:00,2003-12-31T23:00:00
2003,A202,CASTANHAL,N,PA,-1.30083333,-47.93083332,65.0,2003-01-24,2003/INMET_N_PA_A202_CASTANHAL_24-01-2003_A_31-12-2003.CSV,8208,8208,7748,0,2003-01-24T00:00:00,2003-12-31T23:00:00
2003,A502,BARBACENA,SE,MG,-21.22888888,-43.76694443,1155.0,2002-12-05,2003/INMET_SE_MG_A502_BARBACENA_01-01-2003_A_31-12-2003.CSV,8760,8760,4085,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A505,ARAXA,SE,MG,-19.60555555,-46.94944444,1020.0,2002-12-19,2003/INMET_SE_MG_A505_ARAXA_01-01-2003_A_31-12-2003.CSV,8760,8760,8757,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A506,MONTES CLAROS,SE,MG,-16.71666666,-43.86666666,646.29,2002-12-19,2003/INMET_SE_MG_A506_MONTES CLAROS_01-01-2003_A_31-12-2003.CSV,8760,8760,8519,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A507,UBERLANDIA,SE,MG,-18.91722221,-48.25555555,869.0,2002-12-18,2003/INMET_SE_MG_A507_UBERLANDIA_01-01-2003_A_31-12-2003.CSV,8760,8760,5038,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A508,ALMENARA,SE,MG,-16.16666666,-40.68777777,194.0,2002-12-15,2003/INMET_SE_MG_A508_ALMENARA_01-01-2003_A_31-12-2003.CSV,8760,8760,8511,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A601,ECOLOGIA AGRICOLA,SE,RJ,-22.8,-43.68333333,33.0,2000-05-07,2003/INMET_SE_RJ_A601_ECOLOGIA AGRICOLA_01-01-2003_A_31-12-2003.CSV,8760,8760,8188,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A602,MARAMBAIA,SE,RJ,-23.05,-43.6,9.7,2002-11-08,2003/INMET_SE_RJ_A602_MARAMBAIA_01-01-2003_A_31-12-2003.CSV,8760,8760,1834,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A603,XEREM,SE,RJ,-22.58972221,-43.28222221,33.0,2002-10-21,2003/INMET_SE_RJ_A603_XEREM_01-01-2003_A_31-12-2003.CSV,8760,8760,6219,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A604,CAMBUCI,SE,RJ,-21.56666666,-41.95,35.0,2002-11-20,2003/INMET_SE_RJ_A604_CAMBUCI_01-01-2003_A_31-12-2003.CSV,8760,8760,8396,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A705,BAURU,SE,SP,-22.35805555,-49.02888888,666.0,2001-08-30,2003/INMET_SE_SP_A705_BAURU_01-01-2003_A_31-12-2003.CSV,8760,8760,7789,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A706,CAMPOS DO JORDAO,SE,SP,-22.75027777,-45.60388888,1642.0,2002-03-13,2003/INMET_SE_SP_A706_CAMPOS DO JORDAO_01-01-2003_A_31-12-2003.CSV,8760,8760,5352,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A707,PRESIDENTE PRUDENTE,SE,SP,-22.11999999,-51.4,435.55,2003-02-04,2003/INMET_SE_SP_A707_PRESIDENTE PRUDENTE_04-02-2003_A_31-12-2003.CSV,7944,7944,2092,0,2003-02-04T00:00:00,2003-12-31T23:00:00
2003,A708,FRANCA,SE,SP,-20.57999999,-47.37999999,1026.0,2002-12-12,2003/INMET_SE_SP_A708_FRANCA_01-01-2003_A_31-12-2003.CSV,8760,8760,2469,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A807,CURITIBA,S,PR,-25.43333333,-49.26666666,923.5,2003-01-28,2003/INMET_S_PR_A807_CURITIBA_28-01-2003_A_31-12-2003.CSV,8112,8112,1933,0,2003-01-28T00:00:00,2003-12-31T23:00:00
2003,A801,PORTO ALEGRE,S,RS,-30.05,-51.16666666,46.97,2000-09-22,2003/INMET_S_RS_A801_PORTO ALEGRE_01-01-2003_A_31-12-2003.CSV,8760,8760,7348,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A802,RIO GRANDE,S,RS,-32.03333333,-52.1,2.46,2001-11-16,2003/INMET_S_RS_A802_RIO GRANDE_01-01-2003_A_31-12-2003.CSV,8760,8760,7896,0,2003-01-01T00:00:00,2003-12-31T23:00:00
2003,A803,SANTA MARIA,S,RS,-29.70833333,-53.70361111,95.0,2001-11-26,2003/INMET_S_RS_A803_SANTA MARIA_01-01-2003_A_31-12-2003.CSV,8760,8760,8259,0,2003-01-01T00:00:00,2003-12-31T23:00:00
