rede,variavel,codigo,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,sen_slope_c_decada,rho1_rank_detrendido,n_lags_acf_significativos,fator_correcao_hamed_rao,mk_p_classico,mk_p_modificado,mk_p_modificado_fdr,significativo_classico_p05,significativo_modificado_p05,significativo_modificado_fdr05,mudou_significancia_com_correcao,delta_p_modificado_menos_classico
sensibilidade_consecutiva_10a,tmax_inmet,A506,MONTES CLAROS,MG,Sudeste,10,2016,2025,-0.5555555555555556,-0.14939024390243902,0,1.0,0.7876157667022055,0.7876157667022055,0.9458822863206919,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A507,UBERLANDIA,MG,Sudeste,17,2009,2025,1.2363666187633169,-0.17401960784313725,0,1.0,0.05747220363451144,0.05747220363451144,0.2586249163553015,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A509,MONTE VERDE,MG,Sudeste,10,2016,2025,0.3749990463256836,-0.1402439024390244,0,1.0,0.8580276569875211,0.8580276569875211,0.9652811141109613,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A510,VICOSA,MG,Sudeste,11,2011,2021,1.875,-0.1141552511415525,0,1.0,0.48219166095493815,0.48219166095493815,0.8300244789719552,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A513,OURO BRANCO,MG,Sudeste,12,2010,2021,1.4999961853027344,0.3362676056338028,0,1.0,0.4918663579093068,0.4918663579093068,0.8300244789719552,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A521,PAMPULHA,MG,Sudeste,17,2009,2025,1.366663614908854,0.11519607843137254,0,1.0,0.052057559686127686,0.052057559686127686,0.2586249163553015,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A531,MARIA DA FE,MG,Sudeste,18,2008,2025,1.3333352406819663,-0.11220268872802482,0,1.0,0.025326286102778983,0.025326286102778983,0.17095243119375814,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A533,GUANHAES,MG,Sudeste,11,2008,2018,1.6666666666666665,-0.5616438356164384,0,1.0,0.15601603599625435,0.15601603599625435,0.4212432971898868,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A539,MOCAMBINHO,MG,Sudeste,10,2016,2025,0.3333346048990885,-0.22560975609756098,0,1.0,0.7876157667022055,0.7876157667022055,0.9458822863206919,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A555,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,1.4615381681002104,0.04955947136563876,0,1.0,0.1118379159902978,0.1118379159902978,0.3355137479708934,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A701,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,0.9999990463256836,-0.0547945205479452,0,1.0,0.5846479572713805,0.5846479572713805,0.8769719359070708,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A703,PONTA PORA,MS,Centro-Oeste,10,2012,2021,1.3333320617675781,0.12804878048780488,0,1.0,0.6534220947553175,0.6534220947553175,0.9285471872838723,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A801,PORTO ALEGRE,RS,Sul,19,2007,2025,1.3333257039388022,-0.2570298769771529,0,1.0,0.08589714493338896,0.08589714493338896,0.28990286415018773,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A811,CANGUCU,RS,Sul,11,2009,2019,0.7500028610229492,-0.091324200913242,0,1.0,0.48219166095493815,0.48219166095493815,0.8300244789719552,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A839,PASSO FUNDO,RS,Sul,10,2007,2016,-0.666669209798177,0.3475609756097561,0,1.0,0.928444041500591,0.928444041500591,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A884,CAMPO BOM,RS,Sul,11,2014,2024,1.1428560529436385,-0.3789954337899543,0,1.0,0.24147691993853204,0.24147691993853204,0.5927160762127605,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,F501,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,0.5000019073486328,-0.0593607305936073,0,1.0,0.5309159869887314,0.5309159869887314,0.8432195087468087,False,False,False,False,0.0
